"code_commune_insee","nom_de_la_commune","code_postal","libelle_d_acheminement","ligne_5","_geopoint","latitude","longitude"
"88177","LA FORGE","88530","LA FORGE",,"48.069573619236145,6.720074264793201","48.069573619236145","6.720074264793201"
"88178","LES FORGES","88390","LES FORGES",,"48.17390262845278,6.3939845909018915","48.17390262845278","6.3939845909018915"
"88179","FOUCHECOURT","88320","FOUCHECOURT",,"48.00463232532781,5.864664879480914","48.00463232532781","5.864664879480914"
"88180","FRAIN","88320","FRAIN",,"48.08349383045608,5.8801323777142525","48.08349383045608","5.8801323777142525"
"88181","FRAIZE","88230","FRAIZE",,"48.18756707568721,7.026771827546193","48.18756707568721","7.026771827546193"
"88182","FRAPELLE","88490","FRAPELLE",,"48.294510114236374,7.053057780428077","48.294510114236374","7.053057780428077"
"88183","FREBECOURT","88630","FREBECOURT",,"48.3820683956544,5.67561756359466","48.3820683956544","5.67561756359466"
"88184","FREMIFONTAINE","88600","FREMIFONTAINE",,"48.262517704914444,6.700677212047901","48.262517704914444","6.700677212047901"
"88185","FRENELLE LA GRANDE","88500","FRENELLE LA GRANDE",,"48.35306571943917,6.092991421895771","48.35306571943917","6.092991421895771"
"88186","FRENELLE LA PETITE","88500","FRENELLE LA PETITE",,"48.34957403997462,6.063073956260774","48.34957403997462","6.063073956260774"
"88187","FRENOIS","88270","FRENOIS",,"48.18525381628346,6.122930299300657","48.18525381628346","6.122930299300657"
"88188","FRESSE SUR MOSELLE","88160","FRESSE SUR MOSELLE",,"47.8653226265671,6.80858624241977","47.8653226265671","6.80858624241977"
"88189","FREVILLE","88350","FREVILLE",,"48.32474765539217,5.623478319798713","48.32474765539217","5.623478319798713"
"88190","FRIZON","88440","FRIZON",,"48.28555849002465,6.351736201792722","48.28555849002465","6.351736201792722"
"88192","GELVECOURT ET ADOMPT","88270","GELVECOURT ET ADOMPT",,"48.200131334626086,6.1793865922595295","48.200131334626086","6.1793865922595295"
"88192","GELVECOURT ET ADOMPT","88270","GELVECOURT ET ADOMPT","ADOMPT","48.200131334626086,6.1793865922595295","48.200131334626086","6.1793865922595295"
"88193","GEMAINGOUTTE","88520","GEMAINGOUTTE",,"48.244813255229566,7.104754529568151","48.244813255229566","7.104754529568151"
"88194","GEMMELAINCOURT","88170","GEMMELAINCOURT",,"48.275606444795216,5.968321462803263","48.275606444795216","5.968321462803263"
"88195","GENDREVILLE","88140","GENDREVILLE",,"48.2349007940642,5.715990975363278","48.2349007940642","5.715990975363278"
"88196","GERARDMER","88400","GERARDMER",,"48.06575234260832,6.85310582206445","48.06575234260832","6.85310582206445"
"88197","GERBAMONT","88120","GERBAMONT",,"48.00390684039907,6.769292726231313","48.00390684039907","6.769292726231313"
"88198","GERBEPAL","88430","GERBEPAL",,"48.12987860004279,6.925534373033445","48.12987860004279","6.925534373033445"
"88199","GIGNEVILLE","88320","GIGNEVILLE",,"48.11272144162493,5.918917813018645","48.11272144162493","5.918917813018645"
"88200","GIGNEY","88390","GIGNEY",,"48.230075854625596,6.33709604571394","48.230075854625596","6.33709604571394"
"88201","GIRANCOURT","88390","GIRANCOURT",,"48.14563088530175,6.324206304282575","48.14563088530175","6.324206304282575"
"88202","GIRCOURT LES VIEVILLE","88500","GIRCOURT LES VIEVILLE",,"48.34146850116247,6.195636589629364","48.34146850116247","6.195636589629364"
"88203","GIRECOURT SUR DURBION","88600","GIRECOURT SUR DURBION",,"48.248398055357484,6.597821174605599","48.248398055357484","6.597821174605599"
"88205","GIRMONT VAL D AJOL","88340","GIRMONT VAL D AJOL",,"47.95011120847526,6.565639124452432","47.95011120847526","6.565639124452432"
"88206","GIRONCOURT SUR VRAINE","88170","GIRONCOURT SUR VRAINE",,"48.299792823945324,5.931621510851942","48.299792823945324","5.931621510851942"
"88208","GODONCOURT","88410","GODONCOURT",,"47.996804567297794,5.930630843514912","47.996804567297794","5.930630843514912"
"88209","GOLBEY","88190","GOLBEY",,"48.19865501089625,6.425774741125519","48.19865501089625","6.425774741125519"
"88210","GORHEY","88270","GORHEY",,"48.18985430194441,6.294060298631944","48.18985430194441","6.294060298631944"
"88212","GRAND","88350","GRAND",,"48.39464321654813,5.473235162805022","48.39464321654813","5.473235162805022"
"88213","LA GRANDE FOSSE","88490","LA GRANDE FOSSE",,"48.34147483535361,7.079437337268311","48.34147483535361","7.079437337268311"
"88214","GRANDRUPT DE BAINS","88240","GRANDRUPT DE BAINS",,"48.06437314730556,6.1790157860504955","48.06437314730556","6.1790157860504955"
"88215","GRANDRUPT","88210","GRANDRUPT",,"48.366627940653075,7.060810277408107","48.366627940653075","7.060810277408107"
