id,vegetal,action,materiel_id,stock,plan palette,memo,main oeuvre,rendement,nb graine,vegetal,semaine début,semaine fin,action,rendement,anticipation,hebdomadaire,actif,conversion,date mise à jour
532,197,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,25/11/2021 11:14:36
533,198,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
534,201,2,,23,,,,,,,02,02,,1.00,0.00,0,1,1.00,21/7/2022 08:05:23
535,202,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
536,204,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,13/10/2020 14:37:17
537,205,2,,23,,,,,,,03,03,,1.00,1.00,0,1,1.00,
538,206,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
540,209,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
542,211,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
543,212,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,25/11/2021 10:40:26
544,213,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
545,214,2,,23,,,,,,,03,03,,1.00,1.00,0,1,1.00,
546,215,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
547,216,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
548,217,2,,23,,,,,,,03,03,,1.00,400.00,0,1,1.00,
549,218,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
550,219,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
552,221,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
553,222,2,,23,,,,,,,03,03,,1.00,1.00,0,1,1.00,
555,224,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
556,225,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
557,226,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
558,227,2,,23,,,1,,,,03,03,1.00,1.00,0.00,0,1,1.00,
560,229,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
561,231,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
562,232,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
563,233,2,,23,,,,,,,03,03,,1.00,1.00,0,1,1.00,
564,235,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
565,236,2,,23,,,,,,,03,03,1.00,1.00,1.00,0,1,1.00,
566,237,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
567,238,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
568,239,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
569,241,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
571,243,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
572,244,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
573,245,2,,23,,,,,,,03,03,,1.00,0.00,0,1,1.00,
