source,produit,densite
1379,128,3
1380,51,
1380,128,3
1381,34,
1381,752,1
1382,62,
1382,1348,1
1383,872,250
1383,1388,
1384,87,
1385,1384,200
1385,1388,
1386,777,
1387,709,
1387,1165,250
1389,709,
1390,777,
1391,445,
1392,445,
1393,777,
1394,777,
1395,392,
1396,777,
1398,66,1
1398,1245,40
1399,4,
1399,100,1
1400,123,1
1400,1078,
1401,119,1
1401,387,
1402,438,1
1403,436,5
1403,1424,
1404,162,
1404,436,5
1405,33,
1405,437,1
1406,33,
1406,437,1
1407,47,
1407,436,5
1408,60,66
1409,192,
1409,436,5
1410,192,
1410,436,5
1411,18,
1411,364,1
1412,18,
1412,364,1
1413,58,
1413,455,3
1414,117,3
1415,61,
1415,130,4
1416,4,
1416,100,1
1417,42,
1417,121,1
1418,4,
1418,99,1
1419,40,
1419,117,3
1420,86,
1420,1423,240
1421,438,1
1422,56,
1422,129,3
1423,86,
1425,348,1
1426,74,
1427,1273,1000
1429,34,
1429,348,1
1430,734,1
1431,1432,
1433,777,
1434,392,
1435,1436,
1437,20,
1437,109,1
1438,20,
1438,109,1
1440,4,
1440,100,1
1443,119,1
1443,387,
1444,773,100
1445,86,
1445,321,250
1446,35,
1446,752,1
1448,42,
1448,121,1
1449,120,1
1449,387,
1451,40,
1451,117,3
1452,40,
1452,117,3
1453,87,
1453,1384,100
1454,403,150
1454,1080,
1455,49,
1455,457,1
1456,348,
1458,62,
1458,1348,1
1464,841,23
1465,38,
1466,1467,4
1468,1467,
