compta;facture,jour;article;libelle;qte;pu;montant
ANCELJU01;AFA2500022;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
ANCELJU01;AFA2600021;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
ANCELNI01;FA20000019;2020-01-14 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
ANCELNI01;FA2100030;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
ANCELNI01;FA2200024;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
ANCELNI01;FA23000020;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
ANCELNI01;FA2400022;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
ANCELNI01;FV2300607;2024-03-20 00:00:00.000;ACOT;Cotisation année 2024;-1.000000;5.000000;-5.000000
ANCELNI01;FA2403070;2024-04-04 00:00:00.000;ACOT;Cotisation annuelle;1.000000;5.000000;5.000000
ANCELNI01;AFA2503086;2025-06-23 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
ANCELNI01;AFA2600020;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
ANCHESY01;FA2103517;2021-08-02 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
ANCHESY01;FA2200027;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
ANCHESY01;FA23000023;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
ANCHESY01;FA2400025;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
ANCHESY01;FV2400035;2024-01-25 00:00:00.000;ACOT;Cotisation année 2024;-1.000000;5.000000;-5.000000
ANCHESY01;FA2402958;2024-03-05 00:00:00.000;ACOT;Cotisation annuelle;1.000000;5.000000;5.000000
ANDREBE01;FA2400061;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
ANDREBE01;AFA2500035;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
ANDREBE01;AFA2600034;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
ANDRECL01;FA20000023;2020-01-14 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
ANDRECL01;FA2100034;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
ANDRECL01;FA2200028;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
ANDRECL01;FA23000024;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
ANDRECL01;FA2400049;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
ANDRECL01;AFA2500024;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
ANDRECL01;AFA2600023;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
ANDREDE01;FA2202749;2022-01-18 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
ANDREDE01;FA23000036;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
ANDREDE01;FA2400060;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
ANDREDE01;AFA2500034;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
ANDREDE01;AFA2600033;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
ANDREDO01;FA20000030;2020-01-14 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
ANDREDO01;FA2100044;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
ANDREDO01;FA2200039;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
ANDREDO01;FA23000035;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
ANDREDO01;FA2400059;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
ANDREDO01;AFA2500033;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
ANDREDO01;AFA2600032;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
ANDREEM01;FA2200029;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
ANDREEM01;FA23000025;2023-01-12 00:00:00.000;ACOT;Cotisation année 2023;1.000000;30.000000;30.000000
ANDREEM01;FA2400050;2024-01-12 00:00:00.000;ACOT;Cotisation année 2024;1.000000;5.000000;5.000000
ANDREEM01;AFA2500025;2025-01-21 00:00:00.000;ACOT;Cotisation année 2025;1.000000;5.000000;5.000000
ANDREEM01;AFA2600024;2026-01-13 00:00:00.000;ACOT;Cotisation année 2026;1.000000;5.000000;5.000000
ANDREGA01;FA20000026;2020-01-14 00:00:00.000;ACOT;Cotisation année 2020;1.000000;30.000000;30.000000
ANDREGA01;FA2100038;2021-01-14 00:00:00.000;ACOT;Cotisation année 2021;1.000000;30.000000;30.000000
ANDREGA01;FA2200033;2022-01-11 00:00:00.000;ACOT;Cotisation année 2022;1.000000;30.000000;30.000000
