livraison_id,abonnement_id,qte,livre,depot_id,adherent_id,annee,jour,produit_id,semaine,distribution
1887283,26161,1,1,1,220,2024,2024-06-05,1,23,5
1887284,26161,1,1,1,220,2024,2024-06-12,1,24,5
1887285,26161,1,1,1,220,2024,2024-06-19,1,25,5
1887286,26161,1,1,1,220,2024,2024-06-26,1,26,5
1887287,26161,1,1,1,220,2024,2024-07-03,1,27,5
1887288,26161,1,1,1,220,2024,2024-07-10,1,28,5
1887289,26161,1,1,1,220,2024,2024-07-17,1,29,5
1887290,26161,1,1,1,220,2024,2024-07-24,1,30,5
1887291,26161,1,1,1,220,2024,2024-07-31,1,31,5
1887292,26161,1,1,1,220,2024,2024-08-07,1,32,5
1887293,26161,1,1,1,220,2024,2024-08-14,1,33,5
1887294,26161,1,1,1,220,2024,2024-08-21,1,34,5
1887295,26161,1,1,1,220,2024,2024-08-28,1,35,5
1887296,26161,1,1,1,220,2024,2024-09-04,1,36,5
1887297,26161,1,1,1,220,2024,2024-09-11,1,37,5
1887298,26161,1,1,1,220,2024,2024-09-18,1,38,5
1887299,26161,1,1,1,220,2024,2024-09-25,1,39,5
1887300,26161,1,1,1,220,2024,2024-10-02,1,40,5
1887301,26161,1,1,1,220,2024,2024-10-09,1,41,5
1887302,26161,1,1,1,220,2024,2024-10-16,1,42,5
1887303,26161,1,1,1,220,2024,2024-10-23,1,43,5
1887304,26161,1,1,1,220,2024,2024-10-30,1,44,5
1887305,26161,1,1,1,220,2024,2024-11-06,1,45,5
1887306,26161,1,1,1,220,2024,2024-11-13,1,46,5
1887307,26161,1,1,1,220,2024,2024-11-20,1,47,5
1887308,26161,1,1,1,220,2024,2024-11-27,1,48,5
1887309,26161,1,1,1,220,2024,2024-12-04,1,49,5
1887310,26161,1,1,1,220,2024,2024-12-11,1,50,5
1887311,26161,1,1,1,220,2024,2024-12-18,1,51,5
1887312,26162,1,1,14,121,2024,2024-01-10,1,2,3
1887313,26162,1,1,14,121,2024,2024-01-17,1,3,3
1887314,26162,1,1,14,121,2024,2024-01-24,1,4,3
1887315,26162,1,1,14,121,2024,2024-01-31,1,5,3
1887316,26162,1,1,14,121,2024,2024-02-07,1,6,3
1887317,26162,1,1,14,121,2024,2024-02-14,1,7,3
1887318,26162,1,1,14,121,2024,2024-02-21,1,8,3
1887320,26162,2,1,14,121,2024,2024-03-06,1,10,3
1887321,26162,1,1,14,121,2024,2024-03-13,1,11,3
1887322,26162,1,1,14,121,2024,2024-03-20,1,12,3
1887323,26162,1,1,14,121,2024,2024-03-27,1,13,3
1887324,26162,1,1,14,121,2024,2024-04-03,1,14,3
1887325,26162,1,1,14,121,2024,2024-04-10,1,15,3
1887326,26162,1,1,14,121,2024,2024-04-17,1,16,3
1887327,26162,1,1,14,121,2024,2024-04-24,1,17,3
1887328,26162,1,1,14,121,2024,2024-04-30,1,18,3
1887330,26162,2,1,14,121,2024,2024-05-15,1,20,3
1887331,26162,1,1,14,121,2024,2024-05-22,1,21,3
1887332,26162,1,1,14,121,2024,2024-05-29,1,22,3
1887333,26162,1,1,14,121,2024,2024-06-05,1,23,3
1887334,26162,1,1,14,121,2024,2024-06-12,1,24,3
1887335,26162,1,1,14,121,2024,2024-06-19,1,25,3
1887336,26162,1,1,14,121,2024,2024-06-26,1,26,3
1887337,26162,1,1,14,121,2024,2024-07-03,1,27,3
1887338,26162,1,1,14,121,2024,2024-07-10,1,28,3
1887339,26162,1,1,14,121,2024,2024-07-17,1,29,3
1887340,26162,1,1,14,121,2024,2024-07-24,1,30,3
1887341,26162,1,1,14,121,2024,2024-07-31,1,31,3
1887342,26162,1,1,14,121,2024,2024-08-07,1,32,3
1887344,26162,2,1,14,121,2024,2024-08-21,1,34,3
1887345,26162,1,1,14,121,2024,2024-08-28,1,35,3
1887346,26162,1,1,14,121,2024,2024-09-04,1,36,3
1887347,26162,1,1,14,121,2024,2024-09-11,1,37,3
1887348,26162,1,1,14,121,2024,2024-09-18,1,38,3
1887349,26162,1,1,14,121,2024,2024-09-25,1,39,3
1887350,26162,1,1,14,121,2024,2024-10-02,1,40,3
1887351,26162,1,1,14,121,2024,2024-10-09,1,41,3
1887352,26162,1,1,14,121,2024,2024-10-16,1,42,3
1887353,26162,1,1,14,121,2024,2024-10-23,1,43,3
1887355,26162,2,1,14,121,2024,2024-11-06,1,45,3
1887356,26162,1,1,14,121,2024,2024-11-13,1,46,3
1887357,26162,1,1,14,121,2024,2024-11-20,1,47,3
1887358,26162,1,1,14,121,2024,2024-11-27,1,48,3
1887359,26162,1,1,14,121,2024,2024-12-04,1,49,3
1887360,26162,1,1,14,121,2024,2024-12-11,1,50,3
1887361,26162,1,1,14,121,2024,2024-12-18,1,51,3
1887362,26163,1,1,19,236077,2024,2024-01-12,1,2,7
1887363,26163,1,1,19,236077,2024,2024-01-19,1,3,7
1887364,26163,1,1,19,236077,2024,2024-01-26,1,4,7
1887365,26163,1,1,19,236077,2024,2024-02-02,1,5,7
1887366,26163,1,1,19,236077,2024,2024-02-09,1,6,7
1887367,26163,1,1,19,236077,2024,2024-02-16,1,7,7
1887368,26163,1,1,19,236077,2024,2024-02-23,1,8,7
1887369,26163,1,1,19,236077,2024,2024-03-01,1,9,7
1887370,26163,1,1,19,236077,2024,2024-03-08,1,10,7
1887371,26163,1,1,19,236077,2024,2024-03-15,1,11,7
1887372,26163,1,1,19,236077,2024,2024-03-22,1,12,7
1887373,26163,1,1,19,236077,2024,2024-03-29,1,13,7
1887374,26163,1,1,19,236077,2024,2024-04-05,1,14,7
1887375,26163,1,1,19,236077,2024,2024-04-12,1,15,7
1887376,26163,1,1,19,236077,2024,2024-04-19,1,16,7
1887378,26163,1,1,19,236077,2024,2024-05-03,1,18,7
1887379,26163,1,1,19,236077,2024,2024-05-10,1,19,7
1887380,26163,2,1,19,236077,2024,2024-05-17,1,20,7
1887381,26163,1,1,19,236077,2024,2024-05-24,1,21,7
1887382,26163,1,1,19,236077,2024,2024-05-29,1,22,4
1887383,26163,1,1,19,236077,2024,2024-06-07,1,23,7
1887384,26163,1,1,19,236077,2024,2024-06-14,1,24,7
1887385,26163,1,1,19,236077,2024,2024-06-21,1,25,7
1887386,26163,1,1,19,236077,2024,2024-06-28,1,26,7
1887387,26163,1,1,19,236077,2024,2024-07-05,1,27,7
1887388,26163,1,1,19,236077,2024,2024-07-12,1,28,7
1887389,26163,1,1,19,236077,2024,2024-07-19,1,29,7
1887390,26163,1,1,19,236077,2024,2024-07-26,1,30,7
1887391,26163,1,1,19,236077,2024,2024-08-02,1,31,7
1887392,26163,1,1,19,236077,2024,2024-08-09,1,32,7
1887393,26163,1,1,19,236077,2024,2024-08-16,1,33,7
1887394,26163,1,1,19,236077,2024,2024-08-21,1,34,4
1887395,26163,1,1,19,236077,2024,2024-08-30,1,35,7
1887396,26163,1,1,19,236077,2024,2024-09-06,1,36,7
1887397,26163,1,1,19,236077,2024,2024-09-13,1,37,7
1887398,26163,1,1,19,236077,2024,2024-09-20,1,38,7
1887399,26163,1,1,19,236077,2024,2024-09-27,1,39,7
1887400,26163,1,1,19,236077,2024,2024-10-04,1,40,7
1887401,26163,1,1,19,236077,2024,2024-10-11,1,41,7
1887402,26163,1,1,19,236077,2024,2024-10-18,1,42,7
1887403,26163,1,1,19,236077,2024,2024-10-25,1,43,7
